nom_norm,code_postal,code_insee,lat,lon,population,dept,nom
MONT BERTRAND,14350,14061,48.96160,-0.84000,0,14,Mont-Bertrand
MONT DE LANS,38860,38253,44.98850,6.13490,0,38,Mont-de-Lans
MONTABON,72500,72071,47.69550,0.42130,0,72,Montabon
MONTAGNA LE TEMPLIER,39320,39273,46.37930,5.48250,0,39,Montagna-le-Templier
MONTAGNY SUR GROSNE,71520,71134,46.35470,4.56490,0,71,Montagny-sur-Grosne
MONTAIMONT,73130,73235,45.39590,6.35540,0,73,Montaimont
MONTALEMBERT,79190,79307,46.16250,0.12570,0,79,Montalembert
MONTAMY,14350,14061,48.96160,-0.84000,0,14,Montamy
MONTANEL,50240,50487,48.52090,-1.36380,0,50,Montanel
MONTARLOT,77250,77316,48.35450,2.82330,0,77,Montarlot
MONTARLOT LES CHAMPLITTE,70600,70122,47.63100,5.49930,0,70,Montarlot-lès-Champlitte
MONTAURE,27400,27412,49.24290,1.11830,0,27,Montaure
MONTBENOIT,25650,25390,46.99850,6.46520,0,25,Montbenoît
MONTCHATON,50660,50388,49.00920,-1.47630,0,50,Montchaton
MONTCHAUDE,16300,16224,45.44040,-0.21690,0,16,Montchaude
MONTEILLE,14370,14431,49.08600,-0.01690,0,14,Monteille
MONTFAUCON MONTIGNE,49710,49301,47.08780,-1.09680,0,49,Montfaucon-Montigné
MONTFERNEY,25680,25505,47.47660,6.35000,0,25,Montferney
MONTFLOVIN,25650,25390,46.99850,6.46520,0,25,Montflovin
MONTGARDON,50580,50236,49.28730,-1.59660,0,50,Montgardon
MONTGAROULT,61150,61194,48.75090,-0.11940,0,61,Montgaroult
MONTGELLAFREY,73130,73235,45.39590,6.35540,0,73,Montgellafrey
MONTGIROD,73210,73006,45.56610,6.61190,0,73,Montgirod
MONTGOTHIER,50540,50256,48.62360,-1.17980,0,50,Montgothier
MONTGUILLON,49520,49331,47.71110,-0.85400,0,49,Montguillon
MONTHERLANT,60790,60570,49.26820,2.06030,0,60,Montherlant
MONTIER EN DER,52220,52331,48.47730,4.80760,0,52,Montier-en-Der
MONTIGNAC CHARENTE,16330,16393,45.76490,0.13400,0,16,Montignac-Charente
MONTIGNE,16170,16339,45.83970,-0.08660,0,16,Montigné
MONTJEAN SUR LOIRE,49620,49244,47.34350,-0.93510,0,49,Montjean-sur-Loire
MONTJEZIEU,48500,48034,44.42530,3.25830,0,48,Montjézieu
MONTMARQUET,80430,80456,49.82230,1.80340,0,80,Montmarquet
MONTMARTIN EN GRAIGNES,50620,50099,49.30610,-1.21180,0,50,Montmartin-en-Graignes
MONTMIN,74290,74275,45.81710,6.23190,0,74,Montmin
MONTOURS,35460,35191,48.45230,-1.34030,0,35,Montours
MONTOURTIER,53150,53161,48.16360,-0.55750,0,53,Montourtier
MONTPOLLIN,49150,49018,47.55980,-0.11430,0,49,Montpollin
MONTREVAULT,49600,49218,47.24940,-1.02040,0,49,Montrevault
MONTRICHARD,41400,41151,47.35940,1.19980,0,41,Montrichard
MONTRIGAUD,26350,26210,45.21760,5.14230,0,26,Montrigaud
MONTSAON,52000,52469,48.06060,5.04660,0,52,Montsaon
MONTSAUGEON,52190,52405,47.66420,5.28760,0,52,Montsaugeon
MONTSECRET,61800,61292,48.80060,-0.67870,0,61,Montsecret
MONTSEUGNY,70140,70101,47.33240,5.51680,0,70,Montseugny
MONTSURVENT,50560,50215,49.10770,-1.53150,0,50,Montsurvent
MONTURSIN,25190,25275,47.34440,6.98400,0,25,Montursin
MONTVIETTE,14170,14654,48.98730,0.02520,0,14,Montviette
MONTVIRON,50530,50565,48.74480,-1.44410,0,50,Montviron
MORAINS,51130,51158,48.82690,3.96160,0,51,Morains
MORANNES,49640,49220,47.71810,-0.38160,0,49,Morannes
MORCHAMPS,25680,25505,47.47660,6.35000,0,25,Morchamps
MORET SUR LOING,77250,77316,48.35450,2.82330,0,77,Moret-sur-Loing
MOREZ,39400,39368,46.51650,6.00020,0,39,Morez
MORIEUX,22400,22093,48.48590,-2.52010,0,22,Morieux
MORMAISON,85260,85197,46.91040,-1.43140,0,85,Mormaison
MORTAIN,50140,50359,48.60770,-0.92590,0,50,Mortain
MORTZWILLER,68780,68219,47.73230,7.04930,0,68,Mortzwiller
MORVILLE SUR ANDELLE,76780,76455,49.49000,1.41200,0,76,Morville-sur-Andelle
MOUGON,79370,79185,46.28440,-0.27230,0,79,Mougon
MOUILLERON EN PAREDS,85390,85154,46.66890,-0.84530,0,85,Mouilleron-en-Pareds
MOULICENT,61290,61230,48.54190,0.80330,0,61,Moulicent
MOULT,14370,14456,49.11230,-0.18980,0,14,Moult
MOURJOU,15340,15027,44.70650,2.32500,0,15,Mourjou
MOUSSONVILLIERS,61190,61429,48.63940,0.75970,0,61,Moussonvilliers
MOUSTOIR REMUNGOL,56500,56144,47.97140,-2.86750,0,56,Moustoir-Remungol
MOUTIERS SOUS ARGENTON,79300,79013,46.97210,-0.41640,0,79,Moutiers-sous-Argenton
MOUTIERS SOUS CHANTEMERLE,79380,79179,46.70970,-0.59270,0,79,Moutiers-sous-Chantemerle
MOUTILS,77320,77093,48.77520,3.38220,0,77,Moutils
MOYON,50860,50363,48.99550,-1.13540,0,50,Moyon
MUR DE BRETAGNE,22530,22158,48.19550,-2.94810,0,22,Mûr-de-Bretagne
MUREILS,26240,26216,45.20790,4.91140,0,26,Mureils
MUSSEAU,52160,52094,47.69050,5.08680,0,52,Musseau
NAFTEL,50540,50256,48.62360,-1.17980,0,50,Naftel
NAIZIN,56500,56144,47.97140,-2.86750,0,56,Naizin
NAMPS AU MONT,80290,80582,49.80580,2.12110,0,80,Namps-au-Mont
NANGEVILLE,45330,45191,48.27450,2.33920,0,45,Nangeville
NANTOIN,38260,38479,45.43200,5.21530,0,38,Nantoin
NATTAGES,01300,01286,45.73180,5.74950,0,01,Nattages
NEHWILLER PRES WOERTH,67110,67388,48.93830,7.67370,0,67,Nehwiller-près-Wœrth
