nom_norm,code_postal,code_insee,lat,lon,population,dept
BOUSSY,74150,74046,45.85120,5.98350,506,74
BOUSSY SAINT ANTOINE,91800,91097,48.68930,2.53540,8097,91
BOUST,57570,57104,49.43400,6.19360,1157,57
BOUSTROFF,57380,57105,49.00350,6.62990,152,57
BOUT DU PONT DE LARN,81660,81036,43.50410,2.42260,1225,81
BOUTEILLES SAINT SEBASTIEN,24320,24062,45.35050,0.29080,172,24
BOUTENAC,11200,11048,43.14690,2.79930,747,11
BOUTENAC TOUVENT,17120,17060,45.49960,-0.76220,230,17
BOUTENCOURT,60590,60097,49.31890,1.87530,213,60
BOUTERVILLIERS,91150,91098,48.45420,2.05120,429,91
BOUTEVILLE,16120,16057,45.61050,-0.12420,313,16
BOUTIERS SAINT TROJAN,16100,16058,45.71400,-0.29560,1387,16
BOUTIGNY,77470,77049,48.91440,2.93260,874,77
BOUTIGNY PROUAIS,28410,28056,48.73630,1.56740,1704,28
BOUTIGNY SUR ESSONNE,91820,91099,48.43590,2.39240,3146,91
BOUTTENCOURT,80220,80126,49.95370,1.61310,927,80
BOUTTEVILLE,50480,50070,49.39070,-1.25430,57,50
BOUTX,31160,31085,42.91690,0.77220,249,31
BOUTX,31440,31085,42.91690,0.77220,249,31
BOUVAINCOURT SUR BRESLE,80220,80127,50.03470,1.49530,783,80
BOUVANCOURT,51140,51077,49.34600,3.85750,174,51
BOUVANTE,26190,26059,44.93270,5.29940,210,26
BOUVELINGHEM,62380,62169,50.73380,2.03820,260,62
BOUVELLEMONT,08430,08080,49.58440,4.66400,117,08
BOUVERANS,25560,25085,46.84130,6.21520,461,25
BOUVESSE QUIRIEU,38390,38054,45.77940,5.41930,1524,38
BOUVIERES,26460,26060,44.52000,5.22170,151,26
BOUVIGNIES,59870,59105,50.43320,3.23590,1580,59
BOUVIGNY BOYEFFLES,62172,62170,50.42320,2.67570,2398,62
BOUVILLE,28800,28057,48.26310,1.38040,530,28
BOUVILLE,76360,76135,49.55990,0.89430,1039,76
BOUVILLE,91880,91100,48.43700,2.28060,669,91
BOUVINCOURT EN VERMANDOIS,80200,80128,49.88990,3.04330,154,80
BOUVINES,59830,59106,50.58290,3.19460,766,59
BOUVRESSE,60220,60098,49.65100,1.75870,170,60
BOUVRON,44130,44023,47.42000,-1.86910,3153,44
BOUVRON,54200,54088,48.73850,5.88360,196,54
BOUX SOUS SALMAISE,21690,21098,47.47030,4.64470,124,21
BOUXIERES AUX BOIS,88270,88069,48.25620,6.32250,149,88
BOUXIERES AUX CHENES,54770,54089,48.77050,6.27490,1415,54
BOUXIERES AUX DAMES,54136,54090,48.76020,6.16240,4106,54
BOUXIERES SOUS FROIDMONT,54700,54091,48.95560,6.10150,430,54
BOUXURULLES,88130,88070,48.33220,6.23040,176,88
BOUXWILLER,67330,67061,48.81430,7.46650,3754,67
BOUXWILLER,68480,68049,47.50510,7.34260,424,68
BOUY,51400,51078,49.08810,4.36920,533,51
BOUY LUXEMBOURG,10220,10056,48.37750,4.24320,243,10
BOUY SUR ORVIN,10400,10057,48.42410,3.49560,57,10
BOUYON,06510,06022,43.82720,7.12500,557,06
BOUZAIS,18200,18034,46.70450,2.46840,273,18
BOUZANCOURT,52110,52065,48.32050,4.94350,72,52
BOUZANVILLE,54930,54092,48.37140,6.10700,64,54
BOUZE LES BEAUNE,21200,21099,47.05660,4.77310,312,21
BOUZEL,63910,63049,45.78270,3.31780,703,63
BOUZEMONT,88270,88071,48.24980,6.23920,44,88
BOUZERON,71150,71051,46.89080,4.72770,143,71
BOUZIC,24250,24063,44.72210,1.22550,160,24
BOUZIES,46330,46037,44.47760,1.63840,93,46
BOUZIGUES,34140,34039,43.44500,3.65630,1601,34
BOUZIN,31420,31086,43.18840,0.88650,82,31
BOUZINCOURT,80300,80129,50.02380,2.61150,528,80
BOUZON GELLENAVE,32290,32063,43.68650,0.02890,159,32
BOUZONVILLE,57320,57106,49.29700,6.53990,3721,57
BOUZONVILLE AUX BOIS,45300,45047,48.10370,2.24510,428,45
BOUZY,51150,51079,49.08610,4.12970,825,51
BOUZY LA FORET,45460,45049,47.87060,2.36720,1218,45
BOVEE SUR BARBOURE,55190,55066,48.63660,5.51230,133,55
BOVEL,35330,35035,47.95320,-1.95570,618,35
BOVELLES,80540,80130,49.89210,2.14260,425,80
BOVES,80440,80131,49.83920,2.38800,3234,80
BOVIOLLES,55500,55067,48.64330,5.41550,99,55
BOYAVAL,62134,62171,50.47230,2.31130,147,62
BOYELLES,62128,62172,50.19550,2.82060,366,62
BOYER,42460,42025,46.09790,4.21540,195,42
BOYER,71700,71052,46.59850,4.90360,725,71
BOYEUX SAINT JEROME,01640,01056,46.03560,5.46160,367,01
BOYNES,45300,45050,48.11690,2.36030,1289,45
BOZ,01190,01057,46.40890,4.91660,513,01
BOZAS,07410,07039,45.05470,4.64390,255,07
BOZEL,73350,73055,45.45760,6.65370,2098,73
BOZOULS,12340,12033,44.47240,2.71420,3001,12
BRABANT EN ARGONNE,55120,55068,49.11980,5.15050,98,55
BRABANT LE ROI,55800,55069,48.85760,4.97840,221,55
BRABANT SUR MEUSE,55100,55070,49.28020,5.32230,118,55
BRACH,33480,33070,45.04090,-0.94680,906,33
BRACHAY,52110,52066,48.38090,5.04020,58,52
BRACHES,80110,80132,49.72930,2.49850,203,80
BRACHY,76730,76136,49.81680,0.94870,663,76
BRACIEUX,41250,41025,47.55040,1.54370,1343,41
BRACON,39110,39072,46.92630,5.86720,398,39
BRACQUETUIT,76850,76138,49.66500,1.17100,333,76
BRADIANCOURT,76680,76139,49.65920,1.38600,221,76
BRAGASSARGUES,30260,30050,43.91810,4.04750,169,30
BRAGAYRAC,31470,31087,43.48940,1.06800,311,31
BRAGEAC,15700,15024,45.20260,2.26240,78,15
BRAGELOGNE BEAUVOIR,10340,10058,47.97030,4.26730,217,10
BRAGNY SUR SAONE,71350,71054,46.92290,5.03020,667,71
BRAILLANS,25640,25086,47.31060,6.08730,203,25
BRAILLY CORNEHOTTE,80150,80133,50.22640,1.95740,211,80
BRAIN,21350,21100,47.46360,4.50780,36,21
BRAIN SUR ALLONNES,49650,49041,47.30410,0.07430,2056,49
BRAINANS,39800,39073,46.87080,5.62780,200,39
BRAINE,02220,02110,49.34880,3.53570,2248,02
BRAINS,44830,44024,47.16990,-1.72380,2709,44
BRAINS SUR GEE,72550,72045,48.01110,-0.02160,757,72
BRAINS SUR LES MARCHES,53350,53041,47.88530,-1.17690,279,53
BRAINVILLE,50200,50072,49.08300,-1.50130,214,50
BRAINVILLE,54800,54093,49.12510,5.80900,167,54
BRAINVILLE SUR MEUSE,52150,52067,48.17540,5.59260,69,52
BRAISNES SUR ARONDE,60113,60099,49.47720,2.77730,174,60
BRAIZE,03360,03037,46.66190,2.66460,259,03
BRALLEVILLE,54740,54094,48.40880,6.19320,171,54
BRAM,11150,11049,43.25110,2.11080,3233,11
BRAMETOT,76740,76140,49.78110,0.87150,199,76
BRAMEVAQUE,65370,65109,42.97680,0.55590,31,65
BRAN,17210,17061,45.34970,-0.26190,137,17
BRANCEILLES,19500,19029,45.00620,1.71190,279,19
BRANCHES,89113,89053,47.87450,3.48390,434,89
BRANCOURT EN LAONNOIS,02320,02111,49.51700,3.41280,702,02
BRANCOURT LE GRAND,02110,02112,49.97980,3.39560,554,02
BRANDERION,56700,56021,47.79330,-3.19320,1494,56
BRANDEVILLE,55150,55071,49.39150,5.30870,165,55
